bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
5,0.5,0.6,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
6,0.6,0.7,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
7,0.7,0.8,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
8,0.8,0.9,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
9,0.9,1.0,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,feature_missing__Arr_Hour,observed
1,0.1,0.2,334,0.15495686856345509,0.18562874251497005,P6_fixed,42,feature_missing__Arr_Hour,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,feature_missing__Arr_Hour,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,feature_missing__Arr_Hour,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,feature_missing__Arr_Hour,observed
5,0.5,0.6,0,,,P6_fixed,42,feature_missing__Arr_Hour,observed
6,0.6,0.7,0,,,P6_fixed,42,feature_missing__Arr_Hour,observed
7,0.7,0.8,0,,,P6_fixed,42,feature_missing__Arr_Hour,observed
8,0.8,0.9,0,,,P6_fixed,42,feature_missing__Arr_Hour,observed
9,0.9,1.0,0,,,P6_fixed,42,feature_missing__Arr_Hour,observed
0,0.0,0.1,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
1,0.1,0.2,5,0.16969049424053265,0.2,P6_fixed,42,feature_missing__Arr_Hour,missing
2,0.2,0.3,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
3,0.3,0.4,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
4,0.4,0.5,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
5,0.5,0.6,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
6,0.6,0.7,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
7,0.7,0.8,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
8,0.8,0.9,0,,,P6_fixed,42,feature_missing__Arr_Hour,missing
